title,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count
Madagascar: Escape 2 Africa,Still together. Still lost!,2008-10-30,89.0,150000000,603900354,44.141021,6.2,1810
The Matrix Revolutions,Everything that has a beginning has an end.,2003-11-05,129.0,150000000,424988211,73.313918,6.4,3096
Frozen,Only the act of true love will thaw a frozen heart.,2013-11-27,102.0,150000000,1274219009,165.12536599999999,7.3,5295
Mad Max: Fury Road,What a Lovely Day.,2015-05-13,120.0,150000000,378858340,434.27856399999996,7.2,9427
Angels & Demons,,2009-05-13,138.0,150000000,356613439,67.447636,6.5,2129
Thor,Two worlds. One hero.,2011-04-21,115.0,150000000,449326618,86.493424,6.6,6525
Bolt,Fully Awesome. Ridonculous. Let It Begin.,2008-11-21,98.0,150000000,309979994,41.845878000000006,6.3,1750
Mission: Impossible - Rogue Nation,Desperate Times. Desperate Measures.,2015-07-23,131.0,150000000,682330139,114.52223700000002,7.1,3224
The Wolfman,When the moon is full the legend comes to life,2010-02-11,102.0,150000000,0,21.214571,5.5,549
The Last Airbender,"Four nations, one destiny",2010-06-30,103.0,150000000,318502923,33.769335999999996,4.7,1151
Mission: Impossible III,The Mission Begins 05:05:06.,2006-05-03,126.0,150000000,397850012,63.079003,6.5,2028
Mars Needs Moms,Mom needs a little space.,2011-03-09,88.0,150000000,38992758,12.362599000000001,5.5,199
Pan,Every legend has a beginning.,2015-09-24,111.0,150000000,128388320,48.03528,5.9,954
Die Another Day,He’s never been cooler.,2002-11-17,133.0,140000000,431971116,54.159392000000004,5.8,1092
Armageddon,The Earth's Darkest Day Will Be Man's Finest Hour,1998-07-01,151.0,140000000,553799566,58.485967,6.4,2482
Men in Black II,Same Planet. New Scum.,2002-07-03,88.0,140000000,441818803,91.332849,6.0,3114
Beowulf,Evil breeds pain.,2007-11-05,115.0,70000000,195735876,35.601665000000004,5.5,841
Mission: Impossible - Ghost Protocol,No Plan. No Backup. No Choice.,2011-12-07,133.0,145000000,694713380,77.77476999999999,6.8,3972
Exodus: Gods and Kings,"Once brothers, now enemies.",2014-12-03,150.0,140000000,268031828,101.599427,5.6,1921
Star Trek,The future begins.,2009-05-06,127.0,150000000,385680446,73.61680799999999,7.4,4518
Spider-Man,With great power comes great responsibility.,2002-05-01,121.0,139000000,821708551,82.502566,6.8,5265
Watchmen,Justice is coming to all of us.  No matter what we do.,2009-03-05,163.0,130000000,185258983,64.798873,7.0,2811
Lethal Weapon 4,The faces you love. The action you expect.,1998-07-10,127.0,140000000,285444603,24.855701,6.3,767
Sahara,Dirk Pitt. Adventure has a new name.,2005-04-06,124.0,130000000,119269486,21.605567999999998,5.7,434
Final Fantasy: The Spirits Within,Unleash a new reality,2001-07-02,106.0,137000000,85131830,26.074907999999997,5.9,433
Master and Commander: The Far Side of the World,The courage to do the impossible lies in the hearts of men.,2003-11-14,138.0,150000000,212011111,36.973031,6.9,790
The Twilight Saga: Breaking Dawn - Part 2,The epic finale that will live forever,2012-11-13,115.0,120000000,829000000,99.687084,6.1,2553
Happy Feet Two,Every step counts.,2011-11-17,100.0,130000000,150406466,17.7735,5.8,373
The BFG,The world is more giant than you can imagine.,2016-06-01,120.0,140000000,183345589,44.19092,6.0,1000
Penguins of Madagascar,The Movie Event That Will Blow Their Cover,2014-11-22,92.0,132000000,373552094,84.366984,6.5,1346
Ant-Man,Heroes don't get any bigger.,2015-07-14,117.0,130000000,519311965,120.09361000000001,7.0,5880
Bad Boys II,"If you can't stand the heat, get out of Miami.",2003-07-18,147.0,130000000,273339556,38.068736,6.3,1564
Puss in Boots,Live for danger. Fight for justice. Pray for mercy.,2011-10-28,90.0,130000000,554987477,20.678787,6.4,451
Noah,The end of the world is just the beginning.,2014-03-20,139.0,125000000,362637473,46.115758,5.6,2350
Harry Potter and the Prisoner of Azkaban,Something wicked this way comes.,2004-05-31,141.0,130000000,789804554,79.679601,7.7,5877
Night at the Museum: Secret of the Tomb,One Final Night to Save the Day.,2014-12-17,97.0,127000000,349424282,115.597753,6.1,1851
Megamind,His brain is off the chain.,2010-10-28,95.0,130000000,321887208,68.757242,6.7,1918
Harry Potter and the Philosopher's Stone,Let the Magic Begin.,2001-11-16,152.0,125000000,976475550,109.984351,7.5,7006
Pirates of the Caribbean: The Curse of the Black Pearl,Prepare to be blown out of the water.,2003-07-09,143.0,140000000,655011224,271.972889,7.5,6985
The Hunger Games: Mockingjay - Part 1,Fire burns brighter in the darkness,2014-11-18,123.0,125000000,752100229,206.227151,6.6,5584
The Da Vinci Code,Seek the truth.,2006-05-17,149.0,125000000,767820459,45.313196999999995,6.5,2704
X2,The time has come for those who are different to stand united.,2003-04-24,133.0,110000000,407711549,2.871739,6.8,3506
Fast Five,Get the Fifth Gear.,2011-04-20,130.0,125000000,626137675,7.255717999999999,7.1,2438
Sherlock Holmes: A Game of Shadows,The game is afoot.,2011-11-22,129.0,125000000,334615000,81.49962099999999,7.0,3886
Clash of the Titans,Titans will clash.,2010-04-01,106.0,125000000,232713139,47.686442,5.6,2233
The Bourne Legacy,There Was Never Just One,2012-08-08,120.0,130000000,276572938,90.33681,6.0,2651
How the Grinch Stole Christmas,He puts the mean in green.,2000-11-17,104.0,123000000,345141403,45.419668,6.2,1386
The Day After Tomorrow,Where will you be?,2004-05-26,124.0,125000000,544272402,41.380094,6.2,2392
The Perfect Storm,The storm is coming.,2000-03-15,130.0,120000000,325756637,25.752118,6.2,597
Fantastic 4: Rise of the Silver Surfer,Discover the secret of the Surfer.,2007-06-13,92.0,130000000,289047763,60.810722999999996,5.4,2589
Life of Pi,Believe The Unbelievable,2012-11-20,127.0,120000000,609016565,51.328145,7.2,5797
Ghost Rider,Hell Is About To Be Unleashed,2007-02-16,114.0,110000000,228738393,46.834703999999995,5.2,1712
Jason Bourne,You know his name,2016-07-27,123.0,120000000,415484914,62.641286,5.9,2341
Charlie's Angels: Full Throttle,This summer the Angels are back.,2003-06-27,106.0,120000000,259175788,33.616115,5.2,914
Prometheus,The Search for Our Beginning Could Lead to Our End.,2012-05-30,124.0,130000000,403170142,68.889395,6.3,5080
Stuart Little 2,A Little Goes A Long Way,2002-07-19,78.0,120000000,169956806,27.990284000000003,5.4,613
How Do You Know,How do you know it's love?,2010-12-17,121.0,120000000,48668907,11.137655,4.9,223
Knight and Day,Every Hit Man Deserves a Second Shot!,2010-06-15,109.0,117000000,261930431,44.906918,5.9,1547
Oblivion,Earth is a memory worth fighting for,2013-04-10,124.0,120000000,286168572,67.698004,6.4,4800
Star Wars: Episode III - Revenge of the Sith,The saga is complete.,2005-05-17,140.0,113000000,850000000,44.108427,7.1,4116
"Monsters, Inc.",We Scare Because We Care.,2001-11-01,92.0,115000000,562816256,106.815545,7.5,5996
The Wolverine,"When he's most vulnerable, he's most dangerous.",2013-07-23,126.0,120000000,415440673,15.953444000000001,6.3,4053
The Croods,Meet the first modern family.,2013-03-20,98.0,135000000,585178928,64.18332099999999,6.8,2399
Asterix at the Olympic Games,,2008-01-13,116.0,97250400,132900000,20.344364000000002,5.0,471
The Huntsman: Winter's War,The story before Snow White,2016-04-06,114.0,115000000,164602163,60.467983999999994,6.0,1523
Teenage Mutant Ninja Turtles,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,2014-08-07,101.0,125000000,477200000,143.350376,5.8,2636
Fantastic Four,Change is coming.,2015-08-05,100.0,120000000,167977596,38.126095,4.4,2278
Night at the Museum,Where History Comes To Life,2006-10-20,108.0,110000000,574480841,48.780039,6.3,2862
San Andreas,"A rescue pilot survived an earthquake, this is what happens next",2015-05-27,114.0,110000000,470490832,100.412364,6.0,2968
Tomorrow Never Dies,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,1997-12-11,119.0,110000000,333011068,42.887121,6.0,925
Ocean's Twelve,Twelve is the new eleven.,2004-12-09,125.0,110000000,362744280,76.840712,6.4,2124
Mr. & Mrs. Smith,Smart and sexy.,2005-06-07,120.0,110000000,478207520,44.635452,6.5,2965
Gulliver's Travels,Something big is going down.,2010-12-25,85.0,112000000,237382724,22.845143,4.9,621
The Smurfs,Smurf Happens.,2011-07-29,103.0,110000000,563749323,36.65422,5.5,1179
Allegiant,Break the boundaries of your world,2016-03-09,121.0,110000000,179246868,86.105615,5.9,1998
The Smurfs 2,Get ready to get naughty!,2013-07-30,105.0,105000000,347434178,32.473628000000005,5.5,695
Live Free or Die Hard,The old school cop is back!,2007-06-20,128.0,110000000,383531464,48.933370000000004,6.4,2089
Around the World in 80 Days,Let your imagination soar.,2004-06-16,120.0,110000000,72178895,22.643776000000003,5.7,672
The Cat in the Hat,Don't mess with the hat.,2003-11-21,82.0,0,0,18.251129000000002,4.9,366
The Princess and the Frog,Every Love Story Begins With a Kiss...,2009-12-08,97.0,105000000,267045765,62.479574,6.7,1247
The Martian,Bring Him Home,2015-09-30,141.0,108000000,630161890,167.93287,7.6,7268
Town & Country,There's no such thing as a small affair.,2001-04-27,104.0,90000000,10372291,1.004579,3.7,16
Gone in Sixty Seconds,"Ice Cold, Hot Wired.",2000-06-09,118.0,90000000,237202299,52.995628,6.1,1485
Minority Report,The system is perfect until it comes after you.,2002-06-20,145.0,102000000,358372926,65.948959,7.1,2608
Casino Royale,Everyone has a past. Every legend has a beginning.,2006-11-14,144.0,150000000,599045960,88.935165,7.3,3855
Terminator 2: Judgment Day,It's nothing personal.,1991-07-01,137.0,100000000,520000000,101.74155,7.7,4185
Public Enemies,America's Most Wanted.,2009-07-01,140.0,80000000,214104620,33.691694,6.5,1344
The Other Guys,When the cops are busy... Our only hope is...,2010-08-06,107.0,100000000,170432927,24.399642,6.1,1383
The Expendables 2,Back for War.,2012-08-08,103.0,100000000,312573423,53.73289200000001,6.1,2896
Eragon,"As darkness falls, the last dragon will choose its rider.",2006-12-14,104.0,100000000,249288105,30.863434,4.9,967
Epic,Discover a world beyond your imagination,2013-05-15,102.0,100000000,268426634,36.711378,6.4,1121
The Tourist,It all started when he met a woman,2010-12-08,103.0,100000000,278731369,41.426678,6.0,1699
Blood Diamond,It will cost you everything.,2006-12-07,143.0,100000000,170877916,52.792678,7.3,2281
Cloud Atlas,Everything is Connected,2012-10-26,172.0,102000000,130482868,73.872343,6.6,2977
Point Break,The only law that matters is gravity,2015-12-03,114.0,105000000,133718711,33.507289,5.5,783
The Adventures of Pluto Nash,Action's future has arrived...,2002-08-15,95.0,100000000,7103973,12.092241,4.4,142
Green Zone,Chief Warrant Officer Roy Miller is done following orders,2010-03-11,115.0,100000000,94882889,30.254021,6.4,717
The Peanuts Movie,The story of an underdog. And his dog.,2015-11-05,88.0,99000000,246233113,34.308098,6.5,604
The Spanish Prisoner,It's the oldest con in the book.,1997-09-08,110.0,10000000,13835130,3.091077,7.1,73
The Mummy Returns,The most powerful force on earth is about to be unleashed by the two people who should know better.,2001-04-28,130.0,98000000,433013274,41.862983,6.0,2206
Gangs of New York,America was born in the streets.,2002-12-14,167.0,100000000,193772504,46.160047999999996,7.1,1910
The Flowers of War,,2011-12-15,145.0,94000000,95311434,12.516546,7.1,187
The Campaign,May The Best Loser Win.,2012-08-09,85.0,0,104907746,16.460356,5.6,578
Sex and the City 2,Carrie on.,2010-05-26,146.0,100000000,288347692,18.325897,5.4,426
The Lovely Bones,The story of a life and everything that came after...,2009-12-26,136.0,65000000,93525586,29.257137,6.6,1065
The Lord of the Rings: The Two Towers,A New Power Is Rising.,2002-12-18,179.0,79000000,926287400,106.914973,8.0,7487
Transcendence,"Yesterday, Dr. Will Caster was only human...",2014-04-16,119.0,100000000,103039258,58.991388,5.9,2295
Jurassic Park III,"This time, it's not just a walk in the park!",2001-07-18,92.0,93000000,368780809,1.859364,5.7,2077
The Spiderwick Chronicles,Their World Is Closer Than You Think.,2008-02-14,95.0,90000000,162839667,21.436682,6.3,572
Men in Black,Protecting the Earth from the scum of the universe.,1997-07-02,98.0,90000000,589390539,104.121555,6.9,4412
Unstoppable,"1,000,000 Tons. 100,000 Lives. 100 Minutes.",2010-11-04,98.0,100000000,167805466,37.698465,6.3,1165
What Lies Beneath,He was the perfect husband until his one mistake followed them home.,2000-07-21,130.0,100000000,155464351,15.835672,6.3,488
The Secret Life of Walter Mitty,"Stop Dreaming, Start Living",2013-12-18,114.0,90000000,188133322,43.348022,7.0,3144
Charlie's Angels,Get Some Action,2000-11-02,98.0,92000000,264105545,40.20395,5.6,1232
The Departed,Lies. Betrayal. Sacrifice. How far will you take it?,2006-10-05,151.0,90000000,289847354,63.429157,7.9,4339
Mulan,"This time, the princess saves the prince.",1998-06-18,88.0,90000000,304320254,67.427755,7.6,2008
Sherlock Holmes,Nothing escapes him.,2009-12-23,128.0,90000000,524028679,57.834787,7.0,5766
Ben-Hur,First to finish. Last to die.,2016-08-17,125.0,100000000,94061311,29.608321999999998,5.3,621
Atlantis: The Lost Empire,Atlantis is waiting...,2001-06-02,95.0,120000000,186053725,51.548589,6.7,1224
Pixels,Game On.,2015-07-16,105.0,88000000,243637091,140.849495,5.6,2513
The Haunted Mansion,Check your pulse at the door... if you have one.,2003-11-25,99.0,90000000,182290266,16.302378,5.2,466
Hollow Man,What would you do if you knew you couldn't be seen?,2000-08-04,112.0,95000000,190213455,28.200874,5.6,634
The Interpreter,The truth needs no translation.,2005-04-08,128.0,80000000,162944923,18.69984,6.2,392
Percy Jackson: Sea of Monsters,"Where There Are Gods, There Are Monsters.",2013-08-07,106.0,90000000,174578751,40.262260999999995,5.9,1648
Lara Croft Tomb Raider: The Cradle of Life,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,2003-07-21,117.0,95000000,156505388,56.81105600000001,5.5,1418
Now You See Me 2,You Haven't Seen Anything Yet,2016-06-02,129.0,90000000,334901337,51.535701,6.7,3235
Spy Game,It's not how you play the game. It's how the game plays you.,2001-11-18,126.0,92000000,143049560,27.166757,6.8,579
Volcano,The coast is toast,1997-04-25,104.0,90000000,0,19.836123999999998,5.2,376
The Devil's Own,"They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war.",1997-03-12,107.0,90000000,140807547,15.350451000000001,5.9,290
Conan the Barbarian,Thief. Warrior. Gladiator. King.,1982-04-02,129.0,20000000,79114085,31.802807,6.6,650
Cinderella Man,One man's extraordinary fight to save the family he loved.,2005-06-02,144.0,88000000,108539911,24.100863,7.3,616
Seabiscuit,The hopes of a nation rode on a long shot.,2003-07-22,141.0,87000000,148336445,14.824166,6.7,216
Cast Away,"At the edge of the world, his journey begins.",2000-12-22,143.0,90000000,429632142,57.739713,7.5,3218
Happy Feet,WARNING: May Cause Toe-Tapping.,2006-11-16,108.0,100000000,384335608,37.272385,5.9,1410
Air Force One,The fate of a nation rests on the courage of one man.,1997-07-25,124.0,85000000,315156409,36.38795,6.2,840
The Three Musketeers,Every legend has a new beginning.,2011-08-31,110.0,75000000,132274484,36.605246,5.6,924
Safe House,No one is safe,2012-02-09,115.0,85000000,208076205,34.773106,6.3,1345
102 Dalmatians,Meet Two Unlikely Heroes With A Bone To Pick.,2000-10-07,100.0,85000000,183611771,9.895061,5.1,313
Tower Heist,Ordinary guys. An extraordinary robbery.,2011-11-02,104.0,75000000,152930623,36.743324,5.8,932
The Holiday,It's Christmas Eve and we are going to go celebrate being young and being alive.,2006-12-08,136.0,85000000,194168700,44.967453000000006,6.7,1225
Enemy of the State,It's not paranoia if they're really after you.,1998-11-20,132.0,90000000,250649836,41.207568,6.7,1240
Ocean's Thirteen,What are the odds of getting even? 13 to one.,2007-06-07,122.0,85000000,311312624,42.069993,6.5,1999
Open Season,One Fur All & All Fur One,2006-09-29,83.0,85000000,197309027,26.61951,6.1,656
Memoirs of a Geisha,"My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",2005-12-06,145.0,85000000,162242962,16.595874,7.3,652
The Fast and the Furious: Tokyo Drift,"On the streets of Tokyo, speed needs no translation...",2006-06-03,104.0,85000000,158468292,8.282876,6.1,1705
Meet Joe Black,Sooner or later everyone does.,1998-11-12,178.0,90000000,142940100,36.069611,6.9,1147
The Core,Earth has a deadline.,2003-03-28,136.0,60000000,74208267,29.211254999999998,5.4,516
Click,What If You Had A Remote... That Controlled Your Universe?,2006-06-22,107.0,82500000,237681299,41.176631,6.0,2104
Creepshow,The Most Fun You'll Ever Have... BEING SCARED!,1982-11-12,120.0,8000000,21028755,13.661289000000002,6.7,226
Cats & Dogs 2 : The Revenge of Kitty Galore,Just like real spies... only furrier.,2010-07-30,82.0,85000000,112483764,11.77398,4.9,119
Jumper,anywhere is possible.,2008-02-10,88.0,85000000,222231186,21.218000000000004,5.9,1799
Hellboy II: The Golden Army,Saving the world is a hell of a job.,2008-07-11,120.0,85000000,160388063,58.57976,6.5,1527
Bruce Almighty,In Bruce we trust,2003-05-23,101.0,80000000,484572835,109.68478799999998,6.4,3012
The Expendables,Choose Your Weapon.,2010-08-03,103.0,80000000,274470394,77.58066099999999,6.0,2926
The Hunger Games,May The Odds Be Ever In Your Favor.,2012-03-12,142.0,75000000,691210692,68.550698,6.9,9455
Batman Returns,"The Bat, the Cat, the Penguin.",1992-06-19,126.0,80000000,280000000,59.113174,6.6,1673
Over the Hedge,Taking back the neighborhood... One snack at a time.,2006-04-22,83.0,80000000,343397247,36.32705,6.3,1074
The Longest Yard,"If you can't get out, get even.",2005-05-19,113.0,82000000,190320568,26.065735,6.2,785
Grown Ups 2,Just because they're a little older doesn't mean they've grown up.,2013-07-11,100.0,80000000,246984278,45.589568,5.8,1155
Something's Gotta Give,Schmucks are people too.,2003-12-12,128.0,80000000,266728738,16.939441,6.3,410
Robots,You can shine no matter what you're made of.,2005-03-10,91.0,75000000,260696994,29.558157,6.0,1333
Con Air,They were deadly on the ground; Now they have wings,1997-06-01,115.0,75000000,224012234,45.154631,6.5,1270
Flubber,Catch it if you can!,1997-11-26,93.0,80000000,177977226,11.503960000000001,5.3,695
The Haunting,Some houses are born bad.,1999-07-23,113.0,80000000,91188905,19.375768,5.2,369
The Pink Panther,Pardon His French.,2006-01-18,93.0,0,0,25.450534,5.6,550
Conspiracy Theory,What if your most paranoid nightmares had just come true?,1997-08-07,135.0,75000000,136982834,22.179658,6.5,431
Fury,War never ends quietly.,2014-10-15,135.0,68000000,211817906,139.575085,7.4,3946
Yogi Bear,Life's a Pic-A-Nic,2010-12-11,80.0,80000000,201584141,11.187696,5.2,220
Spirit: Stallion of the Cimarron,Leader. Hero. Legend.,2002-05-24,83.0,80000000,122563539,41.670544,7.4,831
Zookeeper,Welcome to his jungle.,2011-07-06,102.0,80000000,169852759,27.462640000000004,5.3,498
The Manchurian Candidate,This summer everything is under control.,2004-07-30,129.0,80000000,96105964,21.394281,6.2,393
Fantasia 2000,,1999-12-17,74.0,80000000,90874570,14.530945999999998,7.0,292
The Time Machine,The greatest adventure THROUGH all time!,2002-03-04,96.0,80000000,123729176,25.978555,5.8,631
Swordfish,Log On. Hack In. Go Anywhere. Get Everything.,2001-06-07,99.0,102000000,147080413,36.788745,6.1,932
What Dreams May Come,After life there is more. The end is just the beginning.,1998-10-02,113.0,85000000,71485043,21.891078,6.8,577
The Brothers Grimm,Eliminating Evil Since 1812.,2005-08-26,118.0,88000000,105316267,40.138009000000004,5.6,818
Surrogates,How do you save humanity when the only thing that's real is you?,2009-09-24,89.0,80000000,122444772,36.664991,5.9,1195
Thirteen Days,You'll never believe how close we came,2000-12-24,145.0,80000000,34566746,18.261210000000002,6.9,189
Walking With Dinosaurs,The Greatest Adventure in 70 Million Years,2013-12-18,87.0,80000000,126546518,10.088006,5.2,133
Looney Tunes: Back in Action,Real life has never been so animated.,2003-11-14,90.0,80000000,68514844,16.715631,5.6,297
Nine,"This Holiday Season, Be Italian",2009-12-03,112.0,80000000,53825515,9.357733999999999,5.1,165
Timeline,They had to travel into the past to save the future,2003-11-26,116.0,80000000,19480739,11.22268,5.4,318
Babe: Pig in the City,This little pig went to the city...,1998-11-25,92.0,90000000,69131860,11.356079,5.2,305
The Last Witch Hunter,Hunt forever.,2015-10-21,106.0,90000000,146936910,52.612025,5.7,1316
Red Planet,Not A Sound. Not A Warning. Not A Chance. Not Alone.,2000-11-10,106.0,80000000,33463969,13.800656,5.4,267
Arthur and the Invisibles,Adventure awaits in your own backyard.,2006-12-13,94.0,86000000,107944236,27.097932,6.0,639
Oceans,Explore the depths of our planet's oceans.  Experience the stories that connect their world to ours.,2009-10-17,84.0,0,19406406,10.706613,7.3,111
Top Cat Begins,,2015-10-30,89.0,8000000,0,0.719996,5.3,9
A Beautiful Mind,I need to believe that something extra ordinary is possible...,2001-12-11,135.0,60000000,313542341,59.248437,7.7,3009
Hidalgo,Unbridled. Unbroken. Unbeaten.,2004-03-05,136.0,100000000,108103450,16.759252,6.5,318
2 Fast 2 Furious,How Fast Do You Want It?,2003-06-05,107.0,76000000,236350661,10.520961,6.2,2028
